                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97961,                 3.0572,                 1.2811,                0.93774,                 6.4639,                  1.199,                0.35536,                0.31689,                 0.2592,                0.18693,                 1.0968,                 2.2927,                  1.321,                 1.0488,                 4.8957,                 1.2385,             0.00013868,             0.00013868,             0.00013868
                      2,                 1.1004,                 2.2016,                 1.3721,                 1.0906,                 4.4718,                 1.3047,                0.45426,                0.35765,                 0.3264,                0.22274,                 1.1449,                 2.1262,                  1.384,                 1.1249,                 3.4693,                 1.3267,             0.00025019,             0.00025019,             0.00025019
                      3,                 1.1312,                 1.9642,                 1.3937,                 1.1483,                  3.068,                 1.3438,                0.37638,                0.31764,                0.27778,                0.18751,                 1.1843,                 2.1315,                 1.4087,                 1.1866,                 2.8406,                  1.362,             0.00033417,             0.00033417,             0.00033417
                      4,                 1.1234,                 1.7796,                 1.3936,                 1.1678,                 2.4235,                 1.3531,                0.45708,                0.35831,                0.35503,                0.24265,                 1.1577,                 1.8221,                 1.3985,                  1.193,                 2.3494,                  1.368,             0.00029315,             0.00029315,             0.00029315
                      5,                 1.1045,                 1.6388,                 1.3755,                 1.1672,                 2.1281,                 1.3498,                0.54882,                 0.4149,                0.43378,                0.29765,                 1.0997,                 1.6118,                 1.3438,                 1.1492,                 2.0168,                 1.3252,             0.00029315,             0.00029315,             0.00029315
                      6,                 1.0494,                 1.4983,                  1.333,                 1.1198,                 1.9109,                 1.3164,                0.55824,                0.44589,                0.46743,                0.32889,                  1.073,                 1.5025,                 1.3114,                 1.1272,                 1.8724,                 1.2977,             0.00025187,             0.00025187,             0.00025187
                      7,                 1.0075,                 1.3752,                 1.3012,                  1.093,                 1.7331,                 1.2906,                0.58277,                0.49959,                0.51872,                0.36874,                  1.016,                 1.3788,                 1.2621,                 1.0911,                 1.7134,                 1.2614,             0.00021059,             0.00021059,             0.00021059
                      8,                0.97082,                  1.279,                 1.2674,                 1.0557,                 1.6034,                 1.2612,                0.62108,                0.51132,                0.54744,                0.39922,                0.98685,                 1.3178,                 1.2337,                 1.0563,                 1.6436,                 1.2322,              0.0001693,              0.0001693,              0.0001693
                      9,                0.92072,                 1.1805,                 1.2267,                 1.0108,                  1.485,                 1.2268,                0.63243,                0.51961,                0.56274,                0.41603,                 0.9717,                 1.2784,                 1.2232,                 1.0381,                  1.584,                 1.2192,             0.00012802,             0.00012802,             0.00012802
                     10,                0.87933,                 1.0962,                 1.1954,                0.97316,                 1.3812,                 1.2002,                0.67154,                0.53487,                 0.5971,                0.44729,                0.93745,                 1.1867,                 1.1841,                 1.0119,                 1.4737,                 1.1902,             8.6736e-05,             8.6736e-05,             8.6736e-05
